date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles
2020-06-30T00:00:00.000,Sarasota,FL,Passenger,2,0,2,26,28,7.142857142857143
2020-06-30T00:00:00.000,Shelby,TN,Passenger,0,1,1,87,88,1.1363636363636365
2020-06-30T00:00:00.000,Spartanburg,SC,Passenger,0,1,1,41,42,2.380952380952381
2020-06-30T00:00:00.000,St. Clair,IL,Passenger,1,0,1,141,142,0.704225352112676
2020-05-31T00:00:00.000,Dakota,MN,Passenger,0,1,1,30,31,3.225806451612903
2020-05-31T00:00:00.000,Flathead,MT,Passenger,1,0,1,61,62,1.6129032258064515
2020-05-31T00:00:00.000,Fulton,GA,Passenger,1,2,3,100,103,2.912621359223301
2020-05-31T00:00:00.000,Goochland,VA,Passenger,2,1,3,247,250,1.2
2020-05-31T00:00:00.000,Hamilton,IN,Passenger,1,0,1,39,40,2.5
2020-05-31T00:00:00.000,Harris,TX,Passenger,1,0,1,228,229,0.4366812227074235
2020-05-31T00:00:00.000,Island,WA,Passenger,408,270,678,62809,63487,1.0679351678296345
2020-05-31T00:00:00.000,Island,WA,Truck,1,0,1,21140,21141,0.0047301452154581
2020-05-31T00:00:00.000,Jefferson,NY,Passenger,0,1,1,210,211,0.4739336492890995
2020-05-31T00:00:00.000,Kent,MI,Passenger,0,1,1,23,24,4.166666666666666
2020-07-31T00:00:00.000,Franklin,WA,Passenger,65,79,144,60783,60927,0.2363484169579989
2020-07-31T00:00:00.000,Franklin,WA,Truck,0,0,0,20097,20097,0.0
2020-07-31T00:00:00.000,Garfield,WA,Passenger,0,1,1,1353,1354,0.0738552437223042
2020-07-31T00:00:00.000,Honolulu,HI,Passenger,4,1,5,441,446,1.1210762331838564
2020-07-31T00:00:00.000,Howard,MD,Passenger,0,1,1,69,70,1.4285714285714284
